country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AUT,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.5
Azerbaijan,AZE,2.0,1.8,1.8,1.9,2.1,2.0,2.0,2.0,1.9,1.8,1.9,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.7,1.8,1.7,1.5
Burundi,BDI,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4,6.3,6.1,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.1
Belgium,BEL,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6
Benin,BEN,5.9,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.1,5.0,5.0
Burkina Faso,BFA,6.5,6.4,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,5.0,4.9,4.8
Bangladesh,BGD,3.2,3.1,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,2.0,2.0,2.0,2.0,2.0
Bulgaria,BGR,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6
Bahrain,BHR,2.8,2.7,2.7,2.7,2.7,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.1,2.1,2.0,1.9,1.9,1.8,1.8
"Bahamas, The",BHS,2.1,2.1,2.0,1.9,1.9,2.1,1.8,1.9,2.0,2.0,1.8,1.7,1.7,1.5,1.7,1.6,1.5,1.4,1.4,1.4,1.4,1.4
Bosnia and Herzegovina,BIH,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4
Belarus,BLR,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.5,1.4,1.4,1.5,1.5
Belize,BLZ,3.6,3.6,3.5,3.3,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.1,2.0,2.0
Bermuda,BMU,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.3
