,Unnamed: 0,country,continent,year,happiness,democracy_score,index_of_functioning_goverment,code,population,women_in_parliament_%,daily_income_usd,income_inequlity
1677,1677,Indonesia,Asia,2016,51.4,69.7,71.4,IDN,261556386.0,17.0,6.35,38.6
1679,1679,Iraq,Asia,2016,44.1,40.8,0.7,IRQ,36610632.0,25.3,7.1,29.5
1681,1681,Japan,Asia,2016,59.5,79.9,82.1,JPN,126994511.0,18.2,47.0,32.9
1682,1682,Turkey,Asia,2016,53.3,50.4,60.7,TUR,79827868.0,15.8,19.4,41.9
1683,1683,Israel,Asia,2016,71.6,78.5,75.0,ISR,8546000.0,24.7,36.9,39.0
1684,1684,Jordan,Asia,2016,52.7,39.6,42.9,JOR,9554286.0,13.0,11.3,34.1
1685,1685,Lebanon,Asia,2016,52.7,48.6,21.4,LBN,6714281.0,4.34,23.2,31.8
1688,1688,Mongolia,Asia,2016,50.6,66.2,57.1,MNG,3056358.0,15.8,8.98,32.4
1690,1690,Pakistan,Asia,2016,55.5,43.3,53.6,PAK,203631356.0,19.4,4.92,32.3
1691,1691,Philippines,Asia,2016,54.3,69.4,57.1,PHL,103663812.0,28.4,6.27,43.8
1693,1693,Saudi Arabia,Asia,2016,64.7,19.3,28.6,SAU,32443443.0,19.9,53.3,35.4
1694,1694,Singapore,Asia,2016,60.3,63.8,78.6,SGP,5607283.0,23.7,60.6,40.9
1697,1697,Tajikistan,Asia,2016,51.0,18.9,0.7,TJK,8663575.0,16.1,7.06,34.1
1699,1699,Kazakhstan,Asia,2016,55.3,30.6,21.4,KAZ,17794055.0,26.6,11.2,27.2
1700,1700,Nepal,Asia,2016,51.0,48.6,42.9,NPL,27263430.0,33.7,5.0,31.9
1701,1701,Tanzania,Africa,2016,29.0,57.6,50.0,TZA,53049231.0,36.6,2.71,40.0
1702,1702,Slovenia,Europe,2016,59.4,75.1,71.4,SVN,2065042.0,23.8,35.4,24.8
1703,1703,Nicaragua,North America,2016,60.1,48.1,32.9,NIC,6303970.0,43.5,11.8,46.3
1704,1704,Vietnam,Asia,2016,50.6,33.8,32.1,VNM,93640435.0,25.9,9.83,35.3
1706,1706,Albania,Europe,2016,45.1,59.1,43.6,ALB,2876101.0,24.8,8.79,33.7
1707,1707,Armenia,Europe,2016,43.3,38.8,28.6,ARM,2936147.0,15.6,8.03,32.5
1708,1708,Austria,Europe,2016,70.5,84.1,78.6,AUT,8736668.0,29.5,58.3,30.8
1710,1710,Portugal,Europe,2016,54.5,78.6,67.9,PRT,10325452.0,35.8,28.5,35.2
1711,1711,Belarus,Europe,2016,51.8,35.4,35.7,BLR,9469379.0,31.3,18.3,25.3
1712,1712,Bosnia and Herzegovina,Europe,2016,51.8,48.7,29.3,BIH,3386263.0,18.1,22.5,32.8
1713,1713,Bulgaria,Europe,2016,48.4,70.1,60.7,BGR,7127822.0,22.5,20.9,40.6
1714,1714,Croatia,Europe,2016,54.2,67.5,60.7,HRV,4174349.0,13.9,21.1,30.9
1715,1715,Cyprus,Europe,2016,57.9,76.5,64.3,CYP,1170189.0,16.7,42.6,32.9
1716,1716,Czech Republic,Europe,2016,67.4,78.2,71.4,CZE,10566332.0,19.1,30.6,25.4
1717,1717,Denmark,Europe,2016,75.6,92.0,92.9,DNK,5728010.0,37.9,55.1,28.2
1718,1718,Belgium,Europe,2016,69.5,77.7,85.7,BEL,11331422.0,43.1,49.2,27.6
1719,1719,Estonia,Europe,2016,56.5,78.5,78.6,EST,1315790.0,25.3,32.9,31.2
1720,1720,Uzbekistan,Asia,2016,58.9,19.5,18.6,UZB,31847900.0,16.4,4.37,35.0
1721,1721,France,Europe,2016,64.8,79.2,71.4,FRA,66724104.0,33.6,54.2,31.9
1722,1722,Greece,Europe,2016,53.0,72.3,53.6,GRC,10775971.0,22.4,22.3,35.0
1723,1723,Hungary,Europe,2016,54.5,67.2,60.7,HUN,9814023.0,11.1,22.8,30.3
1724,1724,Iceland,Europe,2016,75.1,95.0,89.3,ISL,335439.0,44.4,58.1,27.2
1725,1725,Ireland,Europe,2016,70.4,91.5,78.6,IRL,4755335.0,23.0,49.8,32.8
1726,1726,Italy,Europe,2016,59.5,79.8,64.3,ITA,60627498.0,30.8,42.4,35.3
1727,1727,Latvia,Europe,2016,59.4,73.1,57.1,LVA,1959537.0,25.0,24.9,34.3
1728,1728,Moldova,Europe,2016,55.8,60.1,42.9,MDA,2802170.0,21.0,9.59,26.4
1729,1729,Luxembourg,Europe,2016,69.7,88.1,89.3,LUX,582014.0,23.3,74.0,31.7
1730,1730,Malta,Europe,2016,65.9,83.9,82.1,MLT,455356.0,12.6,45.5,29.1
1731,1731,Montenegro,Europe,2016,53.0,57.2,53.6,MNE,622303.0,21.0,15.5,38.5
1732,1732,Netherlands,Europe,2016,75.4,88.0,85.7,NLD,17030314.0,35.6,54.3,28.2
1733,1733,Norway,Europe,2016,76.0,99.3,96.4,NOR,5234519.0,41.0,71.6,28.5
1734,1734,Poland,Europe,2016,61.6,68.3,57.1,POL,37970087.0,25.6,18.5,31.2
1735,1735,Georgia,Europe,2016,44.5,59.3,42.9,GEO,3727505.0,9.11,7.74,36.6
1736,1736,Lithuania,Europe,2016,58.7,74.7,57.1,LTU,2868231.0,22.3,27.3,38.4
1737,1737,Finland,Europe,2016,76.6,90.3,89.3,FIN,5495303.0,42.9,51.0,27.1
1738,1738,Romania,Europe,2016,59.7,66.2,57.1,ROU,19702267.0,11.9,11.3,34.4
1739,1739,Germany,Europe,2016,68.7,86.3,85.7,DEU,82348669.0,32.2,54.8,31.9
1740,1740,Turkmenistan,Asia,2016,58.9,18.3,7.9,TKM,5662371.0,21.6,9.44,44.7
1741,1741,Spain,Europe,2016,63.2,83.0,71.4,ESP,46484062.0,38.8,38.0,35.8
1742,1742,Sweden,Europe,2016,73.7,93.9,96.4,SWE,9923085.0,44.8,56.1,29.6
1743,1743,Switzerland,Europe,2016,74.6,90.9,92.9,CHE,8373338.0,31.3,71.9,33.0
1744,1744,Ukraine,Europe,2016,40.3,57.0,39.3,UKR,45004673.0,15.2,12.1,25.0
1745,1745,United Kingdom,Europe,2016,68.2,83.6,71.4,GBR,65611593.0,24.9,50.4,34.8
1746,1746,Canada,North America,2016,72.4,91.5,96.4,CAN,36109487.0,42.2,59.1,32.7
1747,1747,Costa Rica,North America,2016,71.4,78.8,71.4,CRI,4899336.0,39.5,23.7,48.7
1749,1749,Dominican Republic,North America,2016,52.4,66.7,57.1,DOM,10397738.0,10.1,15.7,45.7
1750,1750,El Salvador,North America,2016,61.4,66.4,60.7,SLV,6356137.0,31.8,10.2,40.0
1751,1751,Guatemala,North America,2016,63.6,59.2,60.7,GTM,15827690.0,15.3,9.12,48.1
1752,1752,Haiti,North America,2016,33.5,40.2,22.1,HTI,10839976.0,2.33,4.66,60.5
1753,1753,Honduras,North America,2016,56.5,59.2,57.1,HND,9270794.0,22.3,8.45,49.8
1755,1755,United Arab Emirates,Asia,2016,68.3,27.5,35.7,ARE,9360975.0,29.4,71.2,28.4
1756,1756,Mexico,North America,2016,68.2,64.7,60.7,MEX,123333379.0,44.7,13.4,46.3
1757,1757,Panama,North America,2016,61.2,71.3,64.3,PAN,4037073.0,20.1,25.0,50.4
1760,1760,Serbia,Europe,2016,57.5,65.7,53.6,SRB,7058322.0,34.0,12.3,38.8
1761,1761,Australia,Australia and Oceania,2016,72.5,90.1,89.3,AUS,24190907.0,29.5,60.5,34.4
1762,1762,New Zealand,Australia and Oceania,2016,72.3,92.6,92.9,NZL,4714100.0,35.5,45.4,35.2
1763,1763,Argentina,South America,2016,64.3,69.6,50.0,ARG,43590368.0,38.0,20.2,42.0
1764,1764,Bolivia,South America,2016,57.7,56.3,53.6,BOL,11031822.0,51.8,13.3,45.3
1766,1766,Colombia,South America,2016,62.3,66.7,71.4,COL,48175048.0,20.3,14.3,50.6
1767,1767,Brazil,South America,2016,63.7,69.0,67.9,BRA,206163056.0,12.7,20.6,53.3
1769,1769,United States,North America,2016,68.0,79.8,71.4,USA,323071755.0,19.3,70.4,41.1
1770,1770,Paraguay,South America,2016,58.0,62.7,57.1,PRY,6777878.0,17.0,17.0,47.9
1771,1771,Peru,South America,2016,57.0,66.5,53.6,PER,30926036.0,25.4,13.5,43.6
1773,1773,Uruguay,South America,2016,61.7,81.7,89.3,URY,3424139.0,19.9,26.9,39.7
1775,1775,Ecuador,South America,2016,61.2,58.1,46.4,ECU,16491116.0,37.0,13.7,45.0
